"Enh","Beluga.MaxDisScore"
"Enh1",1.8699558576802
"Enh10",1.55166476624436
"Enh100",2.39404884232752
"Enh101",2.5032086841616
"Enh102",1.54311797936158
"Enh103",1.29977236434309
"Enh104",1.8333627057386
"Enh105",1.20702030975247
"Enh106",1.70127788637246
"Enh107",2.64111379540407
"Enh108",2.28575408889825
"Enh109",1.46743670165278
"Enh11",1.4164498504756
"Enh110",2.86550414384669
"Enh111",2.86550414384669
"Enh112",2.02022406722481
"Enh113",1.8699558576802
"Enh114",1.66134433440139
"Enh115",1.8253588073105
"Enh116",2.9023956707787
"Enh117",2.9023956707787
"Enh118",3.13194363758847
"Enh119",2.04817696463556
"Enh12",1.56881320666591
"Enh120",1.74026281322485
"Enh121",2.0767559813179
"Enh122",1.80740467240291
"Enh123",3.14387555515283
"Enh124",1.77260183010062
"Enh125",1.54233000590543
"Enh126",0.940485807450095
"Enh127",0.867397750104445
"Enh128",2.40560744951407
"Enh129",1.9605462209986
"Enh13",2.16272729743453
"Enh130",2.28667749492893
"Enh131",2.40627100118141
"Enh132",2.649945906227
"Enh133",3.714442688742
"Enh134",3.714442688742
"Enh135",2.7053133755002
"Enh136",2.7053133755002
"Enh137",2.7053133755002
"Enh138",1.31940163210936
"Enh139",1.83722656113496
"Enh14",1.99593669955931
"Enh140",3.45222529338182
"Enh141",3.45222529338182
"Enh142",2.61172113636273
"Enh143",2.21013736988316
"Enh144",2.11798803831636
"Enh145",2.06293368793237
"Enh146",2.06293368793237
"Enh147",3.36552272883155
"Enh148",1.92078256421724
"Enh149",4.08092190239117
"Enh15",1.83824280470835
"Enh150",1.61364374189419
"Enh151",1.80540241472974
"Enh152",2.10187842440398
"Enh153",2.56911905338607
"Enh154",2.1783554823923
"Enh155",2.91937351271749
"Enh156",2.73992861177629
"Enh157",2.73992861177629
"Enh158",0.732323844037107
"Enh159",2.19667947635294
"Enh16",3.51286162310809
"Enh160",2.54045674156884
"Enh161",1.62848882925154
"Enh162",1.40656993061385
"Enh163",1.40656993061385
"Enh164",1.00369414112414
"Enh165",2.20873051901951
"Enh166",3.86966622828801
"Enh167",1.99900226959888
"Enh168",1.99900226959888
"Enh169",2.63997491062103
"Enh17",3.53017798254959
"Enh170",1.02399410748728
"Enh171",2.21041928776507
"Enh172",2.62893213754346
"Enh173",2.62893213754346
"Enh174",2.52461940671129
"Enh175",2.52461940671129
"Enh176",1.58254491491723
"Enh177",2.51442052287334
"Enh178",0.876635172203785
"Enh179",0.834254283522378
"Enh18",2.5044556623148
"Enh180",3.04287180184385
"Enh181",2.39599006747969
"Enh182",2.9023956707787
"Enh183",2.89756629397562
"Enh184",1.84859950193373
"Enh185",2.19538358294464
"Enh186",1.82246350004128
"Enh187",1.62541660724894
"Enh188",1.7105225336331
"Enh189",2.65423430668961
"Enh19",1.38380815674136
"Enh190",2.94462166824269
"Enh191",1.89794380739048
"Enh192",1.89794380739048
"Enh193",1.71523098662844
"Enh194",1.9059833188446
"Enh195",2.07463633259432
"Enh196",1.96597347618473
"Enh197",1.3506067199411
"Enh198",2.90517961929608
"Enh199",3.6556077243497
"Enh2",1.85402709716679
"Enh20",1.89329926760368
"Enh200",3.6556077243497
"Enh201",1.1707283983157
"Enh202",1.35968754339993
